group,indicator,cid,method,value
rl,HV,C4,SAC,0.870954
rl,HV,C4,D-DRL,0.905331
rl,HV,C5,HCMAGRL,0.995503
rl,HV,C5,DDQN,0.699409
rl,HV,C5,EDQN,0.701115
rl,HV,C5,SAC,0.727625
rl,HV,C5,D-DRL,0.722965
rl,HV,C6,HCMAGRL,0.968285
rl,HV,C6,DDQN,0.780101
rl,HV,C6,EDQN,0.812324
rl,HV,C6,SAC,0.822125
rl,HV,C6,D-DRL,0.826252
rl,HV,C7,HCMAGRL,0.895871
rl,HV,C7,DDQN,0.70627
rl,HV,C7,EDQN,0.70627
rl,HV,C7,SAC,0.64967
rl,HV,C7,D-DRL,0.651347
rl,HV,C8,HCMAGRL,0.984822
rl,HV,C8,DDQN,0.643051
rl,HV,C8,EDQN,0.643051
rl,HV,C8,SAC,0.743025
rl,HV,C8,D-DRL,0.801249
rl,HV,C9,HCMAGRL,0.961898
rl,HV,C9,DDQN,0.66786
rl,HV,C9,EDQN,0.828842
rl,HV,C9,SAC,0.683773
rl,HV,C9,D-DRL,0.716913
rl,HV,C10,HCMAGRL,1.0
rl,HV,C10,DDQN,0.790139
rl,HV,C10,EDQN,0.628378
rl,HV,C10,SAC,0.999828
rl,HV,C10,D-DRL,1.0
rl,HV,C11,HCMAGRL,0.997665
rl,HV,C11,DDQN,0.924901
rl,HV,C11,EDQN,0.924901
rl,HV,C11,SAC,0.913713
rl,HV,C11,D-DRL,0.887515
rl,HV,C12,HCMAGRL,0.998214
rl,HV,C12,DDQN,0.53862
rl,HV,C12,EDQN,0.658593
rl,HV,C12,SAC,0.783051
rl,HV,C12,D-DRL,0.857335
rl,HV,C13,HCMAGRL,0.99585
rl,HV,C13,DDQN,0.692425
rl,HV,C13,EDQN,0.692425
rl,HV,C13,SAC,0.920855
rl,HV,C13,D-DRL,0.912801
rl,HV,C14,HCMAGRL,0.827748
rl,HV,C14,DDQN,0.612856
rl,HV,C14,EDQN,0.639176
rl,HV,C14,SAC,0.786352
rl,HV,C14,D-DRL,0.819205
rl,HV,C15,HCMAGRL,0.900085
rl,HV,C15,DDQN,0.654876
rl,HV,C15,EDQN,0.748435
rl,HV,C15,SAC,0.729522
rl,HV,C15,D-DRL,0.711647
rl,HV,C16,HCMAGRL,0.963171
rl,HV,C16,DDQN,0.71644
rl,HV,C16,EDQN,0.71644
rl,HV,C16,SAC,0.744559
rl,HV,C16,D-DRL,0.72552
rl,HV,C17,HCMAGRL,0.995001
rl,HV,C17,DDQN,0.615258
rl,HV,C17,EDQN,0.597028
rl,HV,C17,SAC,0.791032
rl,HV,C17,D-DRL,0.791407
rl,HV,C18,HCMAGRL,0.9855
rl,HV,C18,DDQN,0.732319
rl,HV,C18,EDQN,0.648104
rl,HV,C18,SAC,0.670843
rl,HV,C18,D-DRL,0.683342
rl,HV,C19,HCMAGRL,0.971258
rl,HV,C19,DDQN,0.881277
rl,HV,C19,EDQN,0.881277
rl,HV,C19,SAC,0.706769
rl,HV,C19,D-DRL,0.815754
rl,HV,C20,HCMAGRL,0.909498
rl,HV,C20,DDQN,0.546167
rl,HV,C20,EDQN,0.546167
rl,HV,C20,SAC,0.592287
rl,HV,C20,D-DRL,0.542978
rl,HV,C21,HCMAGRL,0.928383
rl,HV,C21,DDQN,0.580006
rl,HV,C21,EDQN,0.66081
rl,HV,C21,SAC,0.756634
rl,HV,C21,D-DRL,0.777197
rl,HV,C22,HCMAGRL,0.994443
rl,HV,C22,DDQN,0.726835
rl,HV,C22,EDQN,0.726835
rl,HV,C22,SAC,0.861203
