method,instance_id,alpha_t,alpha_c,makespan_mean,makespan_std,cost_mean,cost_std,n_seeds,cid,makespan_norm,cost_norm,score,rank
EDQN,M8_A6_R4_J2,0.25,0.75,1254.866666666667,7.668878399507548,498.7,31.552962993738173,20,C10,1.0,0.8514920194309505,0.8886190145732129,7.5
EDQN,M8_A6_R4_J2,0.5,0.5,1255.0833333333337,0.4442616583193828,503.5,29.01995683554409,20,C10,1.0,0.8008793969849244,0.9004396984924622,8.5
EDQN,M8_A6_R4_J2,0.75,0.25,1258.1333333333337,12.759310326189272,495.65,13.88022068685471,20,C10,1.0,0.8193189715079916,0.9548297428769978,8.5
EDQN,M8_A6_R4_J2,1.0,0.0,1228.216666666667,0.5217491947500228,848.85,46.94035969633224,20,C10,0.9811013359400472,1.0,0.9811013359400472,8.0
EDQN,M8_A6_R6_J3,0.0,1.0,2250.7,98.60777343828481,617.8,77.74154210215445,20,C11,0.9353274050121256,1.0,1.0,8.5
EDQN,M8_A6_R6_J3,0.25,0.75,2286.6583333333333,190.21617030990933,629.2,76.20305284670616,20,C11,1.0,1.0,1.0,8.5
EDQN,M8_A6_R6_J3,0.5,0.5,2214.458333333333,202.44068422294708,593.8,42.346440849634334,20,C11,0.8693934393969209,0.9631788079470196,0.9162861236719703,7.5
EDQN,M8_A6_R6_J3,0.75,0.25,2322.7666666666664,143.08036019553552,650.3,94.98204816534654,20,C11,1.0,0.9553016636600518,0.9888254159150129,8.5
EDQN,M8_A6_R6_J3,1.0,0.0,2282.175,178.93432487077217,634.1,68.1499121519301,20,C11,0.6361040485038141,0.689173286260665,0.6361040485038141,8.0
EDQN,M8_A6_R8_J4,0.0,1.0,3951.5333333333338,60.917632051293836,359.25,17.12761697253575,20,C12,0.6154130564084427,0.5392156862745098,0.5392156862745098,6.0
EDQN,M8_A6_R8_J4,0.25,0.75,3962.841666666667,153.6755570267614,376.8,57.332456133640314,20,C12,0.721754649962381,0.41608076437714087,0.4924992357734509,6.0
EDQN,M8_A6_R8_J4,0.5,0.5,3961.5333333333338,56.70616786280144,352.15,32.990070276404474,20,C12,0.7483420664810881,0.34151747655583964,0.5449297715184639,6.0
EDQN,M8_A6_R8_J4,0.75,0.25,3958.5833333333335,125.51506165299209,378.65,55.361277555991954,20,C12,0.8457206839059795,0.30595249361218885,0.7107786363325319,6.0
EDQN,M8_A6_R8_J4,1.0,0.0,3953.8333333333335,61.937999559831404,381.75,63.86735843671797,20,C12,0.8415254391774883,0.46923953289661063,0.8415254391774883,8.0
EDQN,M8_A8_R4_J2,0.0,1.0,1057.5583333333334,125.72616297157708,856.15,85.1353566232527,20,C13,1.0,1.0,1.0,8.5
EDQN,M8_A8_R4_J2,0.25,0.75,1061.1083333333333,94.2465857882849,838.65,110.60802055242792,20,C13,1.0,0.9587584423049288,0.9690688317286966,8.5
EDQN,M8_A8_R4_J2,0.5,0.5,1075.525,55.54283619015853,857.45,57.25793440765724,20,C13,1.0,0.9327052489905787,0.9663526244952894,8.5
