method,instance_id,M,A,R,J,op_types,sec_per_episode,steps_mean
w/o Heterogeneity,M8_A6_R6_J3,8,6,6,3,18,10.72082564860233,168.348
w/o Heterogeneity,M8_A6_R8_J4,8,6,8,4,32,21.632023059601895,254.3705
w/o Heterogeneity,M8_A8_R4_J2,8,8,4,2,8,3.6042531725994778,72.2445
w/o Heterogeneity,M8_A8_R6_J3,8,8,6,3,18,10.443087424401892,174.1725
w/o Heterogeneity,M8_A8_R8_J4,8,8,8,4,32,29.472542498000664,310.0015
w/o Heterogeneity,M8_A10_R4_J2,8,10,4,2,8,5.1980961994011885,90.177
w/o Heterogeneity,M8_A10_R6_J3,8,10,6,3,18,7.574731931398623,137.572
w/o Heterogeneity,M8_A10_R8_J4,8,10,8,4,32,15.68673540800158,309.183
w/o Heterogeneity,M12_A9_R4_J2,12,9,4,2,8,2.7288586145974696,94.6275
w/o Heterogeneity,M12_A9_R6_J3,12,9,6,3,18,5.80678919019876,154.1515
w/o Heterogeneity,M12_A9_R8_J4,12,9,8,4,32,14.57830315220356,270.3215
w/o Heterogeneity,M12_A12_R4_J2,12,12,4,2,8,2.539413967399858,81.182
w/o Heterogeneity,M12_A12_R6_J3,12,12,6,3,18,5.980936961597996,151.5295
w/o Heterogeneity,M12_A12_R8_J4,12,12,8,4,32,13.834094557000324,255.5775
w/o Heterogeneity,M12_A15_R4_J2,12,15,4,2,8,2.9883160894007887,88.561
w/o Heterogeneity,M12_A15_R6_J3,12,15,6,3,18,7.141752999199322,167.1045
w/o Heterogeneity,M12_A15_R8_J4,12,15,8,4,32,14.733323914802167,265.923
w/o Graph,M4_A3_R4_J2,4,3,4,2,8,0.5856245852094144,67.9795
w/o Graph,M4_A3_R6_J3,4,3,6,3,18,1.554362940205261,138.542
w/o Graph,M4_A3_R8_J4,4,3,8,4,32,4.331974612997845,249.273
w/o Graph,M4_A4_R4_J2,4,4,4,2,8,0.5031610415866599,58.513
w/o Graph,M4_A4_R6_J3,4,4,6,3,18,1.8750155582008883,157.357
w/o Graph,M4_A4_R8_J4,4,4,8,4,32,4.532658271194435,256.9485
w/o Graph,M4_A5_R4_J2,4,5,4,2,8,0.51496458100155,60.5815
w/o Graph,M4_A5_R6_J3,4,5,6,3,18,1.552708553207107,138.8485
w/o Graph,M4_A5_R8_J4,4,5,8,4,32,4.379317162998021,253.761
w/o Graph,M8_A6_R4_J2,8,6,4,2,8,0.47057074919342995,57.818
w/o Graph,M8_A6_R6_J3,8,6,6,3,18,2.086299927203916,167.686
w/o Graph,M8_A6_R8_J4,8,6,8,4,32,4.489668690605089,253.8075
w/o Graph,M8_A8_R4_J2,8,8,4,2,8,0.6575428576217964,72.58
w/o Graph,M8_A8_R6_J3,8,8,6,3,18,2.185582977200858,172.531
w/o Graph,M8_A8_R8_J4,8,8,8,4,32,5.976297460001893,300.6395
w/o Graph,M8_A10_R4_J2,8,10,4,2,8,0.8329339694138617,89.479
w/o Graph,M8_A10_R6_J3,8,10,6,3,18,1.5674000635957346,137.24
w/o Graph,M8_A10_R8_J4,8,10,8,4,32,5.842183008589782,296.5045
w/o Graph,M12_A9_R4_J2,12,9,4,2,8,0.8547112949974834,94.536
w/o Graph,M12_A9_R6_J3,12,9,6,3,18,1.7333467376017944,149.2885
w/o Graph,M12_A9_R8_J4,12,9,8,4,32,4.884731499999762,265.745
w/o Graph,M12_A12_R4_J2,12,12,4,2,8,0.7368367879865692,81.404
w/o Graph,M12_A12_R6_J3,12,12,6,3,18,1.713198142606765,149.847
w/o Graph,M12_A12_R8_J4,12,12,8,4,32,4.296803335397504,248.941
w/o Graph,M12_A15_R4_J2,12,15,4,2,8,0.8047775479927659,86.9985
